no,time,city,brand,production_year,color,km,body_condition,engine_condition,chassis_condition,insurance_time_to_expire,gearbox,fuel_type,price
93,3/12/2022,Tehran,PEUGEOT 206 Type 2,1395,خاکستری,150000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,gasoline,205000000
94,3/29/2022,Tehran,PEUGEOT 405 GLX GAS,1397,دلفینی,100000,خط و خش جزیی,سالم,سالم و پلمپ,3,دنده ای,gasoline,215000000
95,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1393,خاکستری,134000,تمام رنگ,سالم,سالم و پلمپ,3,دنده ای,gasoline,125000000
96,3/26/2022,Tehran,PEUGEOT 206 SD V8,1398,مشکی,0,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,295000000
97,3/26/2022,Tehran,PEUGEOT 405 GLX CNG,1387,خاکستری,390000,صافکاری بی رنگ، در ۴ ناحیه,سالم,سالم و پلمپ,6,دنده ای,CNG,117000000
98,3/5/2022,Tehran,PEUGEOT 206 Type 5,1394,آبی,180000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,4,دنده ای,gasoline,214000000
99,3/31/2022,Tehran,PEUGEOT 2008,1397,سفید,60000,سالم و بی خط و خش,سالم,سالم و پلمپ,1,اتوماتیک,gasoline,860000000
100,3/19/2022,Tehran,PEUGEOT 405 SLX GAS,1398,سفید,23000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,272000000
101,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1393,خاکستری,158000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,154000000
102,3/19/2022,Tehran,PEUGEOT 206 Type 5,1394,آبی,157,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,212000000
103,3/12/2022,Tehran,PEUGEOT 206 SD V8,1396,سفید,134500,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,9,دنده ای,gasoline,230000000
104,3/12/2022,Tehran,PEUGEOT RD GAS,1385,یشمی,250000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,45000000
105,3/12/2022,Tehran,PEUGEOT 207i PANAROMA AUTOMATIC,1400,سفید,8000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,اتوماتیک,gasoline,510000000
106,3/29/2022,Tehran,PEUGEOT 405 GLX CNG,1393,خاکستری,165000,تمام رنگ,سالم,سالم و پلمپ,3,دنده ای,CNG,135000000
107,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1381,مشکی,280000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,CNG,75000000
108,3/12/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,126000,رنگ شدگی در ۳ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,230000000
109,3/5/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,140000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,215000000
110,3/12/2022,Tehran,PEUGEOT 206 Type 5,1398,سفید,20000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,295000000
111,3/19/2022,Tehran,PEUGEOT PARS SAL,1398,سفید,23000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,250000000
112,3/12/2022,Tehran,PEUGEOT RD GAS,1381,سفید,440000,دوررنگ,سالم,سالم و پلمپ,12,دنده ای,gasoline,35000000
113,3/12/2022,Tehran,PEUGEOT 206 Type 2,1385,نقره ای,329000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,110000000
114,3/19/2022,Tehran,PEUGEOT 206 SD V8,1399,سفید,34000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,290000000
115,3/19/2022,Tehran,PEUGEOT 405 GLX LPG,1380,یشمی,400000,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,LPG,66000000
116,3/26/2022,Tehran,PEUGEOT 405 GLX GAS,1398,نوک مدادی,46000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,210000000
117,2/5/2022,Tehran,PEUGEOT 405 GLX CNG,1388,نقره ای,230000,دوررنگ,سالم,سالم و پلمپ,9,دنده ای,CNG,125000000
118,3/5/2022,Tehran,PEUGEOT 206 Type 5,1393,سفید,148000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,220000000
119,3/12/2022,Tehran,PEUGEOT 206 SD V8,1397,سفید,60000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,271000000
120,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1391,خاکستری,150000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,150000000
121,3/27/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,80000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,gasoline,257000000
122,3/5/2022,Tehran,PEUGEOT 206 Type 2,1399,سفید,29000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,245000000
123,3/19/2022,Tehran,PEUGEOT 207i MANUAL,1396,سفید,130000,خط و خش جزیی,سالم,سالم و پلمپ,3,دنده ای,gasoline,285000000
124,3/26/2022,Tehran,PEUGEOT 206 Type 2,1399,سفید,50000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,245000000
125,3/26/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,قرمز,8000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,360000000
126,3/5/2022,Tehran,PEUGEOT 405 GL GAS,1372,سرمه ای,500000,دوررنگ,سالم,سالم و پلمپ,12,دنده ای,gasoline,50000000
127,3/12/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,266000000
128,3/12/2022,Tehran,PEUGEOT PARS HYBRID,1383,نقره ای,500000,دوررنگ,سالم,سالم و پلمپ,3,دنده ای,hybrid,100000000
129,4/2/2022,Tehran,PEUGEOT PARS SAL,1395,سفید صدفی,190000,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,gasoline,210000000
130,3/26/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,1000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,376000000
131,3/12/2022,Tehran,PEUGEOT PARS HYBRID,1379,بژ,280000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,1,دنده ای,hybrid,98000000
132,3/29/2022,Tehran,PEUGEOT 405 GL GAS,1379,نوک مدادی,240000,دوررنگ,سالم,سالم و پلمپ,4,دنده ای,gasoline,54000000
133,3/19/2022,Tehran,PEUGEOT 405 GLX CNG,1389,نقره ای,137000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,11,دنده ای,CNG,145000000
134,3/30/2022,Tehran,PEUGEOT 206 SD V8,1392,سفید,193000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,188000000
135,3/12/2022,Tehran,PEUGEOT 206 Type 2,1398,سفید,7000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,246000000
136,3/12/2022,Tehran,PEUGEOT 206 Type 2,1387,نقره ای,200000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,gasoline,127000000
137,3/27/2022,Tehran,PEUGEOT PARS SAL,1400,سفید,7000,سالم و بی خط و خش,سالم,سالم و پلمپ,2,دنده ای,gasoline,270000000
138,3/12/2022,Tehran,PEUGEOT 2008,1398,نقره ای,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,اتوماتیک,gasoline,1030000000
139,3/5/2022,Tehran,PEUGEOT 207i AUTOMATIC,1397,سفید,92000,خط و خش جزیی,سالم,سالم و پلمپ,6,اتوماتیک,gasoline,375000000
140,3/19/2022,Tehran,PEUGEOT 206 Type 2,1398,سفید,70000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,231000000
141,3/19/2022,Tehran,PEUGEOT PARS SAL,1399,خاکستری,30000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,دنده ای,gasoline,255000000
142,3/19/2022,Tehran,PEUGEOT 206 SD V8,1396,سفید,89000,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,gasoline,240000000
143,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1389,نوک مدادی,209,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,127000000
144,3/12/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,3000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,255000000
145,3/5/2022,Tehran,PEUGEOT 405 GLX CNG,1388,سبز,450000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,CNG,90000000
146,3/12/2022,Tehran,PEUGEOT 206 SD V8,1395,سفید,101000,دوررنگ,سالم,سالم و پلمپ,3,دنده ای,gasoline,189000000
147,4/2/2022,Tehran,PEUGEOT RDI GAS,1382,سفید,46000,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,gasoline,85000000
148,3/26/2022,Tehran,PEUGEOT 207i MANUAL,1398,سفید,41000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,326000000
149,3/28/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,5500,سالم و بی خط و خش,سالم,سالم و پلمپ,5,دنده ای,gasoline,334000000
150,3/28/2022,Tehran,PEUGEOT 206 Type 2,1385,نقره ای,215000,صافکاری بی رنگ، در ۴ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,117000000
151,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1393,نقره ای,155000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,160000000
152,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1389,نقره ای,338497,سالم و بی خط و خش,سالم,سالم و پلمپ,1,دنده ای,gasoline,128000000
153,3/19/2022,Tehran,PEUGEOT 405 GLX LPG,1392,نقره ای,119000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,LPG,160000000
154,3/12/2022,Tehran,PEUGEOT 207i MANUAL,1400,سفید,13,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,337000000
155,3/12/2022,Tehran,PEUGEOT 206 SD V8,1398,سفید,25000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,دنده ای,gasoline,275000000
156,4/2/2022,Tehran,PEUGEOT 405 GLX GAS,1387,نقره ای,320,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,97000000
157,3/12/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,53400,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,252000000
158,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1389,زرد,400,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,12,دنده ای,CNG,100000000
159,3/28/2022,Tehran,PEUGEOT PARS SAL,1393,سفید,200000,صافکاری بی رنگ، در ۲ ناحیه,نیاز به تعمیر,سالم و پلمپ,5,دنده ای,gasoline,160000000
160,3/5/2022,Tehran,PEUGEOT 405 GL GAS,1393,خاکستری,160000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,165000000
161,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1387,نقره ای,350000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,125000000
162,3/12/2022,Tehran,PEUGEOT PARS ELX,1392,سفید,155000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,320000000
163,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1396,خاکستری,95000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,186000000
164,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1388,نقره ای,195000,خط و خش جزیی,سالم,سالم و پلمپ,9,دنده ای,gasoline,126000000
